# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132840 2457656.33588 85 0.1276 2.7420685917e+05 -1.1124019294e+03 1.9490718645e+03 1.8987470702e-01 -8.0816624758e+00 -6.0354631111e-02 1.2564980295e+05 -1.3311347749e+03 -1.2096980967e+03 2.8786832760e+00 1.1403990871e+00 -3.5865292059e-01
132841 2457656.35632 85 0.1273 2.7405007928e+05 -1.1107869170e+03 1.9528720806e+03 1.8599232058e-01 -8.0961570136e+00 -6.0018250279e-02 1.2434656185e+05 -1.3210777768e+03 -1.2085298027e+03 2.8596646535e+00 1.1428300264e+00 -3.2753105103e-01
132842 2457656.37675 87 0.1265 2.7407599610e+05 -1.1117841617e+03 1.9456781047e+03 1.8961179993e-01 -8.0652354361e+00 -4.4236061431e-02 1.2394170853e+05 -1.3178871380e+03 -1.2075043649e+03 2.8530105193e+00 1.1321622985e+00 -3.5801527706e-01
132843 2457656.39718 87 0.1340 2.7404867697e+05 -1.1120746492e+03 1.9411737209e+03 1.9114459782e-01 -8.0475388485e+00 -4.1740217748e-02 1.2131419499e+05 -1.2969005138e+03 -1.1987811908e+03 2.8116150327e+00 1.1066368965e+00 -3.2281849110e-01
132844 2457656.41761 89 0.1557 2.7238916039e+05 -1.1004153886e+03 1.9320777512e+03 1.7022682087e-01 -8.0234866616e+00 -8.9651439384e-02 1.2459628719e+05 -1.3229203683e+03 -1.2076929622e+03 2.8626212172e+00 1.1317397633e+00 -3.6308245385e-01
132845 2457656.43804 89 0.1476 2.7320666680e+05 -1.1074173245e+03 1.9252212893e+03 1.8490180192e-01 -7.9998137472e+00 -1.0065903648e-01 1.2510367588e+05 -1.3274165151e+03 -1.2133282266e+03 2.8723415807e+00 1.1524070284e+00 -3.6668466131e-01
132846 2457656.45848 89 0.1455 2.7864324349e+05 -1.1477763746e+03 1.9357225704e+03 2.5989397393e-01 -8.0371011061e+00 -8.7559927556e-02 1.2499433639e+05 -1.3278211755e+03 -1.2245826380e+03 2.8755866903e+00 1.1973376747e+00 -3.5763324249e-01
132847 2457656.47891 85 0.1543 2.8023453554e+05 -1.1587204561e+03 1.9467411653e+03 2.7874129209e-01 -8.0744072454e+00 -6.5620899176e-02 1.2354940782e+05 -1.3159298676e+03 -1.2166267515e+03 2.8521128648e+00 1.1826107809e+00 -2.8680598499e-01
132849 2457656.51977 84 0.1263 2.7442826997e+05 -1.1157083862e+03 1.9342500826e+03 1.9893018287e-01 -8.0314144794e+00 -9.0015573429e-02 1.3137746415e+05 -1.3759426599e+03 -1.2199964784e+03 2.9661820480e+00 1.1782639247e+00 -3.6487250076e-01
132850 2457656.54021 87 0.1217 2.7828569928e+05 -1.1497271693e+03 1.8932193178e+03 2.7165864885e-01 -7.8914779143e+00 -1.6547755893e-01 1.2313975168e+05 -1.3114529765e+03 -1.2052544827e+03 2.8401868325e+00 1.1243776789e+00 -3.5495067444e-01
132851 2457656.56064 87 0.1243 2.7371584169e+05 -1.1094365821e+03 1.9419965841e+03 1.8564042366e-01 -8.0559637874e+00 -6.6554319645e-02 1.2697359564e+05 -1.3407534006e+03 -1.2053728429e+03 2.8960896578e+00 1.1235383486e+00 -3.6011809084e-01
132852 2457656.58107 85 0.1242 2.7284201482e+05 -1.1022387248e+03 1.9468418185e+03 1.7105062771e-01 -8.0716509243e+00 -5.3623345027e-02 1.2498114244e+05 -1.3249790727e+03 -1.2000430111e+03 2.8644992345e+00 1.0957385634e+00 -3.9409990131e-01
132853 2457656.60150 85 0.1216 2.7721058492e+05 -1.1402220161e+03 1.9051183175e+03 2.5182364293e-01 -7.9225672630e+00 -9.9653821284e-02 1.1873501962e+05 -1.2769973823e+03 -1.1972214285e+03 2.7726056643e+00 1.0893506269e+00 -3.7486679187e-01
132854 2457656.62193 87 0.1257 2.7314089034e+05 -1.1055283179e+03 1.9377042395e+03 1.7950101797e-01 -8.0321925371e+00 -3.2385409902e-02 1.2440522726e+05 -1.3208407514e+03 -1.2021222900e+03 2.8575249722e+00 1.1115165398e+00 -3.5842607159e-01
132855 2457656.64237 88 0.1389 2.7148308592e+05 -1.0937634199e+03 1.9296458290e+03 1.5823450486e-01 -8.0106741663e+00 -7.3894452766e-02 1.2441400496e+05 -1.3210834547e+03 -1.2036500922e+03 2.8581831441e+00 1.1148169151e+00 -3.6983378300e-01
132856 2457656.66280 89 0.1547 2.7190310267e+05 -1.0974635833e+03 1.9251980865e+03 1.6603243036e-01 -7.9973788677e+00 -9.0255688214e-02 1.2521737733e+05 -1.3272673268e+03 -1.2040895304e+03 2.8702316939e+00 1.1192177293e+00 -3.5742278555e-01
132857 2457656.68323 87 0.1304 2.7303234707e+05 -1.1069696408e+03 1.9172258086e+03 1.8565147133e-01 -7.9707583486e+00 -1.0721340089e-01 1.2370814650e+05 -1.3151819321e+03 -1.1988352660e+03 2.8465240537e+00 1.1071424977e+00 -3.2070035743e-01
132858 2457656.70366 85 0.1208 2.8492142591e+05 -1.2016306109e+03 1.8822384141e+03 3.7308225355e-01 -7.8493426514e+00 -1.6186539070e-01 1.1841058936e+05 -1.2775782896e+03 -1.2247249574e+03 2.7800839714e+00 1.2042822100e+00 -3.2853157928e-01
132859 2457656.72409 66 0.1718 2.8826601553e+05 -1.2268990282e+03 1.8847980386e+03 4.2067622057e-01 -7.8613236485e+00 -1.7142073960e-01 1.0054216423e+05 -1.1423016642e+03 -1.2341010425e+03 2.5217846931e+00 1.1986772969e+00 -5.1615176565e-01
132861 2457656.76496 85 0.1277 2.7781772870e+05 -1.1474974050e+03 1.8811299406e+03 2.6906344201e-01 -7.8616330590e+00 -2.3941475912e-01 1.2989876905e+05 -1.3624796397e+03 -1.2005140665e+03 2.9381810408e+00 1.1372069316e+00 -2.1444363662e-01
