# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
126713 2457531.13675 2820 0.0440 -3.3084679396e+05 1.5364668478e+03 -1.6874147350e+03 -1.0459253306e+00 6.9750019848e+00 -2.1492480947e-01 -1.5547425447e+05 1.5690071434e+03 1.3057455306e+03 -3.3355472864e+00 -1.7050155061e+00 -6.1663256116e-01
126714 2457531.15718 2646 0.0444 -3.3114677921e+05 1.5387278720e+03 -1.6871699422e+03 -1.0501713936e+00 6.9743488428e+00 -2.1368966426e-01 -1.5580092709e+05 1.5715996673e+03 1.3072311606e+03 -3.3406446073e+00 -1.7100414279e+00 -6.1425637569e-01
126715 2457531.17762 2400 0.0440 -3.3248089946e+05 1.5491243921e+03 -1.6829524816e+03 -1.0704762326e+00 6.9569745304e+00 -2.2141170804e-01 -1.5600611553e+05 1.5734491048e+03 1.3102271628e+03 -3.3446724860e+00 -1.7209355355e+00 -6.1301008708e-01
126716 2457531.19805 1944 0.0437 -3.3049904697e+05 1.5337733416e+03 -1.6883521418e+03 -1.0407315147e+00 6.9782266558e+00 -2.1613897984e-01 -1.5676589233e+05 1.5784842397e+03 1.3043965685e+03 -3.3527934689e+00 -1.6975094940e+00 -6.0514180991e-01
126717 2457531.21849 2556 0.0442 -3.3096342530e+05 1.5374209427e+03 -1.6866039638e+03 -1.0479770489e+00 6.9698291279e+00 -2.2486054614e-01 -1.5575778775e+05 1.5709595380e+03 1.3042774114e+03 -3.3389301017e+00 -1.7003768147e+00 -6.2054084341e-01
126718 2457531.23892 1983 0.0445 -3.3012166848e+05 1.5308717442e+03 -1.6891646210e+03 -1.0353168775e+00 6.9783196365e+00 -2.2977850751e-01 -1.5461180232e+05 1.5628068761e+03 1.3078511190e+03 -3.3243592008e+00 -1.7117538786e+00 -6.1150718804e-01
126719 2457531.25936 2173 0.0443 -3.3078417970e+05 1.5355547911e+03 -1.6915127376e+03 -1.0436117323e+00 6.9862655782e+00 -2.3347507935e-01 -1.5661515296e+05 1.5770709138e+03 1.3017536066e+03 -3.3498676282e+00 -1.6922657335e+00 -6.2657009023e-01
126720 2457531.27979 2064 0.0439 -3.3064200448e+05 1.5350035677e+03 -1.6868164470e+03 -1.0434227743e+00 6.9707828108e+00 -2.2414808562e-01 -1.5575536512e+05 1.5710930591e+03 1.3057459191e+03 -3.3393975084e+00 -1.7046500933e+00 -6.1492530682e-01
126721 2457531.30021 275 0.0448 -3.4587629549e+05 1.6476428770e+03 -1.6950170414e+03 -1.2521115165e+00 6.9921595412e+00 -2.6675527556e-01 -1.4631609603e+05 1.4989989888e+03 1.2893422913e+03 -3.2016647551e+00 -1.6406736748e+00 -6.0192707449e-01
126722 2457531.32067 2573 0.0442 -3.3157445294e+05 1.5422881260e+03 -1.6836588589e+03 -1.0575411214e+00 6.9605164006e+00 -2.1696141627e-01 -1.5512661032e+05 1.5663724378e+03 1.3054294191e+03 -3.3306245847e+00 -1.7050854811e+00 -6.2243586924e-01
